100/1;100;1
100/2;100;2
100/9;100;9
2220/120;2220;120
2220/150;2220;150
2220/300;2220;300
2242/10015;2242;10015
2242/6200;2242;6200
3700/150;3700;150
3700/152;3700;152
3700/282;3700;282
3700/284;3700;284
4700/24;4700;24
50/2325;50;2325
50/2346;50;2346
50/3415;50;3415
50/3450;50;3450
50/3451;50;3451
50/3480;50;3480
51/1;51;1
56/2310;56;2310
56/2311;56;2311
7512/1;7512;1
7512/15;7512;15
7512/16;7512;
7512/3;7512;3
7512/7;7512;7
7512/8;7512;8
