compNr,msgNr
2110
2200
2201
2209
2214
2216
2236
2241
2250
3500
3600
3800
3801
3802
4001
5500
6019
6031
6071
6116
6135
6195
6220
6227
6242
6252
6280
6294
6605
6653
6750
6795
6809
6878
6927
6983
7065
7160
7173
7261
7373
7458
7501
7525
7580
7957
281192
305715
306312
3700,403
3700,404
3700,405
4000,973
4000,9978
4000,9979
4000,9980
6951,11
6951,10
6951,9
6951,8
6951,7
6951,1
7246,104
7246,102
7246,23
